时间(年),上海,南京,无锡,常州,苏州,南通,盐城,扬州,镇江,泰州,杭州,宁波,嘉兴,湖州,绍兴,金华,舟山,台州,合肥,芜湖,马鞍山,铜陵,安庆,滁州,池州,宣城
2020,38700.58,14817.95,12370.48,7805.0,,,5953.38,,1220.09,5312.8,16105.83,,,3201.41,6000.66,4703.95,,,,,,,,,,
2019,37987.55,14045.15,11803.32,7406.0,19235.8,9383.39,5656.26,5850.08,4077.32,5133.4,15418.8,11985.12,5370.32,3122.27,5780.74,4559.91,1371.6,5134.05,9409.4,3618.26,2111.0,960.2,2380.5,2909.06,831.73,1561.34
2018,36011.82,12820.4,11202.98,7050.3,18597.47,8427.0,5487.1,5466.17,4050.0,5107.63,13509.2,10745.5,4872.0,2719.1,5416.9,4100.2,1316.7,4874.7,8605.13,3278.53,1918.1,954.7,2196.8,2594.07,753.93,1418.86
2017,30632.99,11715.1,10511.8,6618.42,17319.51,7734.64,5082.69,5064.92,4010.36,4744.53,12603.36,9842.1,4380.52,2476.13,5078.37,3848.62,1219.78,4388.22,7213.45,2963.26,1710.09,921.4,1708.83,2282.01,624.35,1185.56
2016,27466.15,10503.02,9210.02,5773.9,15475.09,6768.2,4576.1,4449.38,3833.84,4101.78,11050.5,8541.1,3760.1,2243.1,4710.2,3635.0,1228.5,3842.8,5274.26,2699.44,1493.8,852.3,1531.18,2035.94,589.02,1057.8
2015,25123.45,9720.77,8518.26,5273.2,14504.07,6418.4,4212.5,4016.84,3502.48,3687.9,10053.58,8011.49,3517.81,2084.27,4466.65,3402.34,1095.0,3558.13,5660.3,2457.32,1365.3,721.3,1613.2,1812.28,544.7,971.5
2014,23567.7,8820.75,8205.31,4901.87,13760.89,5652.69,3835.62,3697.91,3252.44,3370.89,9206.16,7610.28,3352.6,1956.0,4265.88,3208.2,1015.26,3387.38,5180.56,2309.55,1333.12,716.31,1544.32,1596.45,517.17,917.63
2013,21602.12,8011.78,8070.18,4360.93,13015.7,5038.89,3475.5,3252.01,2927.28,3006.91,8343.52,7128.87,3147.66,1803.15,3967.29,2958.78,930.85,3153.34,4672.91,2099.53,1292.8,680.6,1418.23,1418.89,462.25,842.8
2012,20101.33,7200.0,7568.15,3969.8,12000.0,4558.7,3120.0,2933.2,2630.1,2701.67,7803.98,6524.7,2885.0,1661.97,3654.03,2700.12,852.0,2927.34,4100.0,1880.0,1232.0,621.3,1359.7,1212.45,417.45,760.0
2011,19195.7,6145.52,6880.15,3580.4,10500.0,4100.0,2771.33,2630.0,2310.4,2422.61,7011.8,6010.48,2668.06,1518.83,3291.23,2447.71,765.3,2794.91,3600.0,1658.24,1144.18,579.4,1215.7,1042.56,372.5,671.4
2010,17166.0,5130.65,5793.3,3044.89,9228.91,3465.67,2332.76,2229.49,1987.64,2048.72,5949.17,5163.0,2300.2,1301.73,2795.2,2110.04,644.32,2426.45,2701.61,1108.59,811.01,466.7,988.11,695.65,300.84,525.7
2009,15046.45,4230.26,4991.72,2519.93,7740.2,2872.8,1917.0,1856.39,1672.08,1660.92,5087.55,4329.3,1918.03,1101.83,2375.78,1776.06,535.24,2040.45,2102.12,902.0,665.89,343.73,770.66,576.18,245.59,432.77
2008,14069.86,3775.0,4419.5,2202.23,6701.29,2510.13,1603.26,1573.29,1408.14,1394.38,4781.16,3964.05,1815.3,1034.89,2222.95,1681.85,490.25,1965.27,1664.84,749.65,636.3,325.31,704.72,520.11,192.4,411.61
2007,12494.01,3283.73,3858.54,1881.28,5700.85,2111.88,1371.26,1311.89,1206.69,1201.82,4100.17,3435.0,1585.31,892.02,1972.05,1465.67,408.37,1721.84,1334.61,582.3,532.1,286.9,587.66,435.55,158.01,332.65
2006,10572.24,2773.78,3300.59,1569.46,4820.26,1758.34,1174.26,1100.16,1021.52,1002.28,3441.51,2874.44,1346.65,761.02,1677.63,1234.7,335.2,1463.31,1073.76,479.72,428.9,243.63,494.21,372.29,130.09,287.88
2005,9154.18,2411.11,2804.68,1303.36,4026.52,1472.08,1004.9,922.02,871.67,822.26,2942.65,2449.31,1159.66,644.25,1447.47,1063.54,280.16,1251.77,853.57,400.65,371.35,182.05,429.64,328.08,110.18,251.53
2004,7450.27,1910.0,2350.0,1100.61,3450.0,1226.06,871.36,788.13,781.16,705.2,2515.0,2158.04,1050.56,590.69,1313.87,978.38,212.04,1173.79,589.7,345.07,265.1,136.72,392.02,355.64,92.43,235.66
2003,6250.81,1576.33,1901.22,901.42,2801.56,1006.71,743.39,647.22,640.51,580.04,2099.77,1786.85,858.03,490.75,1089.28,801.6,172.27,995.03,484.96,284.85,192.52,103.04,320.43,300.5,75.5,203.18
2002,5408.76,1297.57,1580.66,760.6,2080.37,887.33,673.26,558.93,560.9,504.6,1781.83,1500.34,706.43,422.5,928.15,680.41,146.01,858.31,412.81,245.51,154.59,88.42,285.21,280.83,66.97,182.6
2001,4950.84,1150.3,1360.11,672.9,1760.28,809.3,603.23,505.46,502.66,449.97,1568.01,1312.69,604.26,385.0,822.54,597.34,126.69,747.59,363.44,218.77,138.15,80.14,264.14,265.4,61.91,168.91
2000,4551.15,1021.3,1200.17,600.66,1540.68,736.44,548.59,472.12,452.03,405.25,1382.56,1175.75,541.02,377.88,779.76,546.52,114.03,674.99,324.73,200.58,126.17,73.3,252.44,255.73,58.12,160.44
