时间(年),上海,南京,无锡,常州,苏州,南通,盐城,扬州,镇江,泰州,杭州,宁波,嘉兴,湖州,绍兴,金华,舟山,台州,合肥,芜湖,马鞍山,铜陵,安庆,滁州,池州,宣城
2019,2428.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1462.38,696.94,,,,,,,,,774.1,602.96,,,,,,,757.96,,,,,,,
2017,1455.13,680.67,493.05,378.84,691.07,764.47,826.15,459.98,270.9,505.19,753.88,596.93,356.37,266.14,446.48,485.52,97.15,603.53,742.76,387.65,229.35,171.1,530.5,454.25,162.36,280.44
2016,1450.0,662.79,486.2,374.9,678.2,766.66,830.53,461.67,271.98,508.21,736.0,590.96,352.12,264.84,444.53,481.15,97.33,600.17,729.83,387.58,229.35,170.85,529.1,454.09,162.36,280.4
2015,1442.97,653.4,480.9,370.85,667.01,766.77,828.03,461.12,271.67,507.85,723.55,586.57,349.48,263.71,443.11,478.09,97.36,597.49,717.72,384.79,228.5,73.8,622.1,449.06,161.61,279.95
2014,1438.69,648.72,477.1,368.6,661.1,767.6,828.5,461.3,272.1,508.5,715.76,583.78,348.1,263.8,443.0,475.1,97.5,597.1,712.81,384.5,227.2,73.8,620.9,449.6,160.6,279.8
2013,1432.34,643.09,472.23,365.91,653.84,766.51,823.77,459.84,271.75,507.8,706.61,580.15,345.93,262.49,441.66,473.35,97.31,594.04,711.5,384.5,228.4,74.2,621.7,449.5,161.9,280.2
2012,1426.93,638.48,470.07,364.8,647.81,765.2,822.4,458.42,271.4,506.35,700.52,577.71,344.52,261.38,440.83,470.63,97.18,590.95,710.53,383.43,228.37,74.21,620.43,452.06,161.91,279.57
2011,1419.36,636.36,467.96,362.9,,764.88,820.69,460.05,271.86,507.12,695.71,576.4,343.05,261.05,440.01,469.07,96.99,586.79,706.13,385.36,228.61,74.15,618.65,452.89,161.43,279.4
2010,1412.32,632.42,466.56,360.8,637.66,762.92,816.12,459.12,270.71,504.65,689.12,574.08,341.6,259.98,438.91,466.65,96.77,583.14,494.95,229.5,129.1,74.01,615.62,450.8,160.46,278.36
2009,1400.7,629.77,465.65,359.82,633.29,762.66,812.37,458.8,269.88,503.98,683.38,571.02,339.6,259.17,437.74,463.68,96.77,578.47,491.43,230.1,128.61,73.99,615.88,450.25,159.88,277.77
2008,1391.04,624.46,464.2,358.74,629.75,763.72,811.71,459.79,268.77,500.89,677.64,568.09,338.07,258.5,437.06,461.41,96.77,574.06,486.73,230.79,128.1,73.89,613.89,447.37,158.93,276.75
2007,1378.86,617.17,461.74,357.38,624.43,766.13,809.79,459.25,268.78,500.7,672.35,564.56,336.81,257.8,436.24,459.19,96.69,569.39,478.9,230.46,127.32,73.65,610.99,443.96,158.02,275.2
2006,1368.08,607.23,457.8,354.67,616.08,769.79,804.73,458.64,268.79,503.6,666.31,560.45,335.55,257.89,435.5,456.8,96.58,564.66,469.85,229.03,126.57,73.11,607.89,439.99,157.09,274.21
2005,1360.26,595.8,452.84,351.63,607.31,770.86,798.67,456.31,267.61,502.05,660.45,556.7,334.33,257.58,435.09,454.13,96.73,559.85,455.7,226.88,125.64,72.22,605.55,435.62,156.31,273.56
2004,1352.39,583.6,447.19,348.97,598.85,773.79,798.28,454.29,267.21,502.77,651.68,552.69,333.94,257.21,434.72,451.7,96.91,555.92,444.68,224.56,124.39,71.63,604.2,433.5,155.4,273.02
2003,1341.77,572.23,442.54,346.22,590.97,777.62,796.51,453.61,267.19,503.66,642.78,549.07,332.96,256.78,433.84,449.91,97.12,552.61,456.6,223.82,124.09,70.91,605.2,432.94,154.91,274.83
2002,1334.23,563.28,438.58,343.24,583.86,780.26,795.61,452.22,267.13,504.0,636.81,546.19,332.38,257.05,433.59,449.19,97.76,550.0,448.1,221.74,122.12,70.32,604.11,430.6,154.77,275.47
2001,1327.14,553.04,435.9,341.52,580.53,782.46,795.56,451.59,266.58,503.1,629.14,543.35,331.93,256.49,433.27,447.94,98.1,548.52,442.16,220.26,120.05,69.7,602.94,428.28,154.44,275.12
2000,1321.63,544.89,434.61,341.48,578.17,784.53,795.57,450.62,266.67,501.52,621.58,540.94,331.25,255.79,432.69,446.42,98.41,546.62,438.18,218.47,119.01,69.0,601.32,424.93,153.7,274.67
1999,1313.12,537.44,433.4,339.71,576.23,785.99,793.6,447.39,266.17,501.26,616.05,538.41,330.19,255.07,431.7,444.33,98.42,542.98,429.95,216.4,118.14,68.5,598.03,419.03,153.1,274.23
1998,1306.58,532.31,432.21,340.75,575.35,787.49,791.64,446.59,265.64,498.56,611.64,535.27,329.91,254.81,430.04,442.96,98.54,539.51,425.98,215.1,116.55,67.7,596.73,415.37,152.72,273.78
1997,1305.46,529.82,432.29,339.23,574.99,786.3,789.11,446.14,265.41,496.83,607.96,533.31,329.29,254.58,428.94,440.51,98.58,535.98,422.31,213.95,116.12,67.05,594.46,412.11,,
1996,1304.43,525.43,430.82,337.54,574.12,785.24,786.12,444.82,264.8,496.28,603.22,530.08,328.05,254.56,426.84,438.6,98.47,532.98,416.47,212.59,115.24,66.56,591.53,407.61,,
