时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
1949,     256.70,
1950,     256.70,
1952,     256.18,
1955,     280.34,
1957,     304.85,
1960,     322.59,
1962,     322.55,
1965,     345.29,
1970,     360.53,
1975,     392.99,
1978,     412.38,
1980,     435.87,
1985,     465.77,
1990,     501.82,     160.89
1991,     506.44,     185.48
1992,     510.05,     246.88
1993,     514.74,     339.45
1994,     518.28,     466.86
1995,     521.72,     576.46
1996,     525.43,     674.90
1997,     529.82,     755.05
1998,     532.31,     825.13
1999,     537.44,     899.42
2000,     544.89,    1021.30
2001,     553.04,    1150.30
2002,     563.28,    1297.57
2003,     572.23,    1576.33
2004,     583.60,    1910.00
2005,     595.80,    2411.11
2006,     607.23,    2773.78
2007,     617.17,    3283.73
2008,     624.46,    3775.00
2009,     629.77,    4230.26
2010,     632.42,    5130.65
2011,     636.36,    6145.52
2012,     638.48,    7200.00
2013,     643.09,    8011.78
2014,     648.72,    8820.75
2015,     653.40,    9720.77
2016,     662.79,   10503.02
2017,     680.67,   11715.10
2018,     696.94,   12820.40
2019,     709.82,   14045.15
2020,     722.57,   14782.95
2021,     733.73,   16290.13
2022,     739.36,   16776.32
2023,     741.81,   17421.40
