时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
2024,,
2023,740.13,11813.27
2022,746.69,11309.02
2021,751.66,10946.95
2020,756.06,10001.83
2019,759.82,9369.39
2018,762.52,8753.23
2017,764.47,8034.08
2016,766.66,7151.69
2015,766.77,6498.29
2014,767.60,5748.61
2013,766.51,5235.41
2012,765.20,4630.30
2011,764.88,4138.86
2010,762.92,3510.56
2009,762.66,2904.17
2008,763.72,2620.06
2007,766.13,2182.49
2006,769.79,1801.81
2005,770.86,1494.31
2004,773.79,1204.02
2003,777.62,980.18
2002,780.26,865.18
2001,782.46,789.61
2000,784.53,720.59
1999,785.99,657.66
1998,787.49,614.87
1997,786.30,568.99
1996,785.24,524.87
1995,784.24,463.10
1994,782.43,343.04
1993,781.20,240.83
1992,779.86,186.50
1991,778.84,148.92
1990,776.01,134.25
1989,770.54,67.24
1988,762.48,35.66
1987,755.75,32.45
1986,749.07,29.39
1985,744.72,67.24
1980,729.11,35.66
1978,722.71,29.39
1975,710.22,
1970,682.26,
1965,610.44,
1962,567.51,
1957,550.45,
1952,495.80,
1949,464.52,
