时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
1994,526.31,268.83
1995,529.56,408.23
1996,532.98,486.59
1997,535.98,509.07
1998,539.51,554.63
1999,542.98,605
2000,546.62,674.99
2001,548.52,747.59
2002,550,858.31
2003,552.61,995.03
2004,555.92,1173.79
2005,559.85,1251.77
2006,564.66,1463.31
2007,569.39,1721.84
2008,574.06,1965.27
2009,578.47,2040.45
2010,583.14,2426.45
2011,586.79,2794.91
2012,590.95,2927.34
2013,594.04,3153.34
2014,597.1,3387.38
2015,597.49,3558.13
2016,600.17,3842.8
2017,603.53,4388.22
2018,605.4,4874.7
2019,606.64,5134.05
2020,,
