时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
2020,,
2019,770.44,9409.4
2018,757.96,8605.13
2017,742.76,7213.45
2016,729.83,5274.26
2015,717.72,5660.3
2014,712.81,5180.56
2013,711.5,4672.91
2012,710.53,4100
2011,706.13,3600
2010,494.95,2701.61
2009,491.43,2102.12
2008,486.73,1664.84
2007,478.9,1334.61
2006,469.85,1073.76
2005,455.7,853.57
2004,444.68,589.7
2003,456.6,484.96
2002,448.1,412.81
2001,442.16,363.44
2000,438.18,324.73
1999,429.95,294.45
1998,425.98,270.47
1997,422.31,248.99
1996,416.47,211.59
1995,411.11,167.58
1994,402.71,131.82
1993,397.08,97.4
1992,392.16,71.32
1991,386.1,59.69
1990,380.88,58.19
