时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
1978,     289.40,      13.29
1983,     299.21,      23.27
1985,     300.59,      40.98
1990,     316.19,      81.33
1991,     318.30,      91.26
1992,     320.61,     113.32
1993,     322.57,     168.10
1994,     324.46,     236.57
1995,     326.39,     311.24
1996,     328.05,     369.96
1997,     329.29,     408.83
1998,     329.91,     433.39
1999,     330.19,     460.31
2000,     331.25,     524.03
2001,     331.93,     586.73
2002,     332.38,     677.65
2003,     332.96,     823.54
2004,     333.94,    1008.89
2005,     334.33,    1165.88
2006,     335.55,    1354.18
2007,     336.81,    1606.66
2008,     338.07,    1816.60
2009,     339.60,    1917.33
2010,     341.60,    2357.22
2011,     343.05,    2698.81
2012,     344.52,    2909.65
2013,     345.93,    3234.34
2014,     348.14,    3493.97
2015,     349.48,    3696.62
2016,     352.12,    3979.04
2017,     356.37,    4500.26
2018,     360.44,    5018.38
2019,     363.70,    5423.58
2020,     367.38,    5563.58
2021,     371.85,    6388.38
2022,     374.85,    6749.39
2023,     376.76,    7062.45
