时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
2024,,
2023,622.17,16452.83
2022,621.07,15716.34
2021,618.33,14703.20
2020,613.66,12599.22
2019,608.47,12035.11
2018,602.96,11193.14
2017,596.93,10146.55
2016,590.96,8972.83
2015,586.57,8295.35
2014,583.78,7904.81
2013,580.15,7432.09
2012,577.71,6862.02
2011,576.40,6212.56
2010,574.08,5264.70
2009,571.02,4405.12
2008,568.09,3982.92
2007,564.56,3449.62
2006,560.45,2891.84
2005,556.70,2462.09
2004,552.69,2119.65
2003,549.07,1749.27
2002,546.19,1453.34
2001,543.35,1278.75
2000,540.94,1144.57
1999,538.41,1017.08
1998,535.27,952.79
1997,533.31,879.10
1996,530.08,784.07
1995,526.20,602.65
1994,522.85,459.66
1993,519.98,315.11
1992,516.72,213.05
1991,514.16,169.87
1990,510.76,141.40
1989,507.64,137.25
1988,503.06,118.62
1987,498.15,95.99
1986,491.89,80.22
1985,487.74,71.05
1984,484.18,53.17
1983,481.46,41.68
1982,478.33,36.88
1981,471.76,31.99
1980,465.99,29.53
1979,462.07,24.15
1978,457.70,20.17

