时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
1998,     273.78,     203.23
1999,     274.23,     173.18
2000,     274.67,     162.50
2001,     275.12,     177.50
2002,     275.47,     191.50
2003,     274.83,     211.30
2005,     273.56,     252.20
2006,     274.21,     282.50
2007,     275.20,     356.00
2008,     276.75,     408.80
2009,     277.77,     453.80
2010,     278.36,     552.00
2011,     279.40,     702.60
2012,     279.57,     795.40
2013,     280.20,     894.40
2014,     279.80,     982.50
2015,     279.95,    1009.70
2016,     280.40,    1101.10
2017,     280.44,    1233.80
2018,     278.94,    1418.86
2019,     278.77,    1557.40
2020,     277.16,    1591.40
2021,     276.42,    1798.90
2022,     275.75,    1849.40
2023,     274.48,    1951.90
