时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
2024,,
2023,389.34,10116.36
2022,389.21,9552.11
2021,388.16,9037.84
2020,386.63,7810.32
2019,385.02,7405.86
2018,382.20,6897.02
2017,378.84,6478.16
2016,374.90,5752.34
2015,370.85,5281.31
2014,368.60,4991.37
2013,365.91,4527.53
2012,364.80,4039.83
2011,362.90,3639.81
2010,360.80,3091.85
2009,359.82,2560.88
2008,358.74,2301.51
2007,357.38,1936.93
2006,354.67,1603.86
2005,351.63,1322.49
2004,348.97,1113.38
2003,346.22,901.42
2002,343.24,760.60
2001,341.52,672.90
2000,341.48,600.66
1999,339.71,538.72
1998,340.75,504.60
1997,339.23,470.11
1996,337.54,431.15
1995,333.65,369.70
1994,331.44,314.93
1993,329.33,223.90
1992,328.57,144.40
1991,326.87,102.18
1990,324.85,94.87
1989,321.65,87.24
1988,317.06,82.11
1987,313.22,66.45
1986,309.74,54.74
1985,306.87,49.59 
1984,305.48,38.77
1983,304.26,29.85
1982,301.98,26.05
1981,298.75,24.74
1980,295.92,22.76
1979,294.42,20.18
1978,291.00,17.57
1977,289.64,15.44
1976,287.32,14.43
1975,284.69,13.11
1974,282.61,12.53
1973,279.95,12.25
1972,275.67,10.88
1971,272.22,9.66
1970,266.82,8.11
1969,260.19,7.20
1968,256.51,6.27
1967,250.36,6.36
1966,246.69,6.90
1965,240.79,6.29
1964,235.39,5.32
1963,229.31,4.94
1962,222.13,4.64
1961,215.57,4.56
1960,215.49,6.25
1959,214.43,5.39
1958,211.66,5.04
1957,203.70,4.11
1956,198.34,4.20
1955,196.35,3.80
1954,191.54,3.75
1953,187.99,3.82
1952,183.34,3.45
1951,179.87,3.11
1950,176.45,2.85
1949,173.89,2.50
