时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
2024,,
2023,445.04,7423.26
2022,448.46,7053.38
2021,451.56,6640.57
2020,454.56,6013.33
2019,457.14,5799.08
2018,458.83,5478.74
2017,459.98,5078.58
2016,461.67,4539.12
2015,461.12,4099.91
2014,461.30,3750.13
2013,459.84,3367.25
2012,458.42,2974.55
2011,460.05,2664.87
2010,459.12,2257.02
2009,458.80,1878.97
2008,459.79,1665.59
2007,459.25,1370.36
2006,458.64,1135.69
2005,456.31,990.85
2004,454.29,767.65
2003,453.61,631.77
2002,452.22,544.28
2001,451.59,500.31
2000,450.62,472.12
1999,447.39,426.98
1998,446.59,401.60
1997,446.14,376.68
1996,444.87,351.15
1995,443.87,299.20
1994,442.83,241.33
1993,441.58,174.57
1992,439.91,130.67
1991,438.60,101.42
1990,436.50,89.05
1989,433.16,78.39
1988,428.60,73.00
1987,424.46,56.28
1986,420.56,47.83
1985,417.95,41.06
1984,416.56,33.18
1983,415.12,26.21
1982,413.18,22.77
1981,409.10,19.84
1980,406.00,17.56
1979,402.27,15.85
1978,398.43,14.38
1977,393.44,
1976,388.85,
1975,384.32,
1974,379.07,
1973,374.38,
1972,369.10,
1971,362.99,
1970,356.37,
1969,345.37,
1968,335.66,
1967,324.76,
1966,313.68,
1965,304.27,
1964,294.83,
1963,292.30,
1962,292.70,
1961,288.67,
1960,291.27,
1959,307.83,
1958,307.63,
1957,308.92,
1956,305.47,
1955,297.56,
1954,288.09,
1953,283.39,
1952,278.49,
1951,274.95,
1950,265.24,
1949,262.03,
