时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
2024,,
2023,860.60,20058.98
2022,846.75,18955.32
2021,834.54,18247.33
2020,813.83,16206.82
2019,795.37,15418.80
2018,774.10,14306.72
2017,753.88,13160.72
2016,736.00,11709.45
2015,723.55,10495.28
2014,715.76,9502.21
2013,706.61,8639.91
2012,700.52,7968.58
2011,695.71,7153.03
2010,689.12,6049.56
2009,683.38,5181.80
2008,677.64,4850.59
2007,672.35,4155.84
2006,666.31,3483.41
2005,660.45,2973.74
2004,651.68,2566.46
2003,642.78,2118.71
2002,636.81,1798.96
2001,629.14,1582.94
2000,621.58,1395.67
1999,616.05,1225.28
1998,611.64,1134.89
1997,607.96,1036.33
1996,603.22,906.61
1995,597.96,762.01
1994,592.93,585.52
1993,587.10,424.71
1992,582.40,290.07
1991,578.73,227.95
1990,574.78,189.62
1989,570.98 166.29
1988,565.04 152.54
1987,557.63 126.02
1986,549.53 105.36
1985,543.05 90.49
1984,537.49 69.47
1983,533.06 55.89
1982,528.06 50.19
1981,520.73 46.82
1980,515.53 40.65
1979,511.83 33.53
1978,505.55 28.40
1977,499.96 23.06
1976,495.91 19.04
1975,491.68 18.63
1974,485.68 18.98
1973,480.62 20.75
1972,474.06 19.92
1971,467.81 19.10
1970,458.82 16.73
1969,455.58 15.13
1968,456.39 13.06
1967,449.35 13.27
1966,441.84 13.91
1965,435.66 12.77
1964,426.76 11.56
1963,416.36 10.32
1962,403.74 9.94
1961,393.79 10.70
1960,391.16 13.39
1959,391.16 12.50
1958,384.41 9.91
1957,372.75 7.04
1956,365.64 6.20
1955,346.57 5.37
1954,339.29 5.17
1953,328.63 5.02
1952,318.97 4.47
1951,304.89 3.76
1950,297.64 2.99
1949,288.08 2.55
