时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
2020,497.15,5312.8
2019,500.55,5133.4
2018,503.39,5107.63
2017,505.19,4744.53
2016,508.21,4101.78
2015,507.85,3687.9
2014,508.5,3370.89
2013,507.8,3006.91
2012,506.35,2701.67
2011,507.12,2422.61
2010,504.65,2048.72
2009,503.98,1660.92
2008,500.89,1394.38
2007,500.7,1201.82
2006,503.6,1002.28
2005,502.05,822.26
2004,502.77,705.2
2003,503.66,580.04
2002,504,504.6
2001,503.1,449.97
2000,501.52,405.25
1999,501.26,368.92
1998,498.56,342.08
1997,496.83,317.76
1996,496.28,293.65
