时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
1990,245.28,54.99
1991,246.76,60.52
1992,248.02,79.19
1993,249.37,128.4
1994,250.95,186.95
1995,252.63,227.31
1996,254.56,267.92
1997,254.58,296.17
1998,254.81,324.54
1999,255.07,342.62
2000,255.79,377.88
2001,256.49,385
2002,257.05,422.5
2003,256.78,490.75
2004,257.21,590.69
2005,257.58,644.25
2006,257.89,761.02
2007,257.8,892.02
2008,258.5,1034.89
2009,259.17,1101.83
2010,259.98,1301.73
2011,261.05,1518.83
2012,261.38,1661.97
2013,262.49,1803.15
2014,263.8,1956
2015,263.71,2084.27
2016,264.84,2243.1
2017,266.14,2476.13
2018,267.06,2719.1
2019,267.57,3122.27
2020,268.06,3201.41
