时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
1978,     325.76,       6.62
1980,     333.99,       9.60
1985,     347.69,      22.22
1990,     378.23,      53.97
1993,     392.17,
1994,     397.69,
1995,     403.22,     148.85
1996,     407.61,     200.40
1997,     412.11,     241.05
1998,     415.37,     230.02
1999,     419.03,     243.51
2000,     424.93,     255.73
2001,     428.28,     265.40
2002,     430.60,     280.83
2003,     432.94,     300.50
2004,     433.50,     355.64
2005,     435.62,     328.08
2006,     439.99,     372.29
2007,     443.96,     435.55
2008,     447.37,     520.11
2009,     450.25,     576.18
2010,     450.80,     695.65
2011,     452.89,    1042.56
2012,     452.06,    1212.45
2013,     449.50,    1418.89
2014,     449.60,    1596.45
2015,     449.06,    1812.28
2016,     454.09,    2035.94
2017,     454.25,    2282.01
2018,     453.70,    2594.07
2019,     455.30,    2888.70
2020,     454.60,    2946.84
2021,     454.00,    3342.11
2022,     453.80,    3564.99
2023,     452.90,    3782.01
