时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
2024,,
2023,789.09,7403.87
2022,796.80,7038.99
2021,803.84,6603.97
2020,814.49,5918.38
2019,821.35,5656.26
2018,824.73,5387.16
2017,826.15,4990.12
2016,830.53,4546.90
2015,828.03,4181.71
2014,828.50,3807.58
2013,823.77,3465.03
2012,822.40,3097.19
2011,820.69,2751.07
2010,816.12,2315.71
2009,812.37,1926.89
2008,811.71,1694.84
2007,809.79,1446.09
2006,804.73,1237.37
2005,798.67,1061.58
2004,798.28,823.20
2003,796.51,695.72
2002,795.61,627.13
2001,795.56,574.00
2000,795.57,529.48
1999,793.60,500.24
1998,791.64,464.68
1997,789.11,421.48
1996,786.12,381.20
1995,783.53,324.07
1994,780.74,229.57
1993,779.89,167.61
1992,779.20,131.81
1991,777.33,113.79
1990,771.93,104.41
1989,760.53,94.45
1988,749.92,84.89
1987,739.01,64.11
1986,730.65,53.92
1985,725.63,45.62
1984,721.20,38.00
1983,714.93,31.91
1982,707.46,28.14
1981,696.57,26.23
1980,687.90,22.06
1979,684.69,21.66
1978,688.30,18.57
1977,682.14,
1976,673.36,
1975,664.76,
1974,655.05,
1973,646.63,
1972,637.40,
1971,628.56,
1970,615.23,
1969,593.59,
1968,565.77,
1967,548.64,
1966,535.02,
1965,519.86,
1964,500.11,
1963,492.14,
1962,481.28,
1961,472.17,
1960,467.76,
1959,472.07,
1958,461.99,
1957,448.24,
1956,441.74,
1955,425.45,
1954,408.28,
1953,391.66,
1952,382.68,
1951,362.08,
1950,348.20,
1949,336.17,
