时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
1949,222.86,
1965,310.28,
1970,344.89,
1975,368.64,
1980,382.71,16.54
1985,394.88,40.04
1990,412.67,82.38
1991,415.31,98.16
1992,417.16,127.25
1993,419.62,199.73
1994,421.83,304.56
1995,424.70,404.70
1996,426.84,495.39
1997,428.94,564.29
1998,430.04,609.09
1999,431.70,650.93
2000,432.69,716.85
2001,433.27,788.02
2002,433.59,886.06
2003,433.84,1035.22
2004,434.72,1255.30
2005,435.09,1462.83
2006,435.50,1700.37
2007,436.24,2000.73
2008,437.06,2256.20
2009,437.74,2406.90
2010,438.91,2811.75
2011,440.01,3356.94
2012,440.83,3677.52
2013,441.66,4010.84
2014,443.04,4235.16
2015,443.11,4424.69
2016,444.53,4697.15
2017,446.48,5027.48
2018,447.21,5382.72
2019,447.87,5785.51
2020,447.64,5963.76
2021,446.85,6803.41
2022,445.82,7340.96
2023,443.94,7791.14
2024,,
