时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
1990,96.99,24.57
1991,97.35,28.94
1992,97.63,34.14
1993,97.88,41.34
1994,97.99,59.7
1995,98.28,73.49
1996,98.47,82.58
1997,98.58,89.15
1998,98.54,93.56
1999,98.42,101.37
2000,98.41,114.03
2001,98.1,126.69
2002,97.76,146.01
2003,97.12,172.27
2004,96.91,212.04
2005,96.73,280.16
2006,96.58,335.2
2007,96.69,408.37
2008,96.77,490.25
2009,96.77,535.24
2010,96.77,644.32
2011,96.99,765.3
2012,97.18,852
2013,97.31,930.85
2014,97.5,1015.26
2015,97.36,1095
2016,97.33,1228.5
2017,97.15,1219.78
2018,96.9,1316.7
2019,96.6,1371.6
2020,,
