时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
1990,202.1,31.86
1991,204.2,31.52
1992,206.12,38.36
1993,207.66,52.79
1994,209.28,75.09
1995,211.27,100.88
1996,212.59,132.06
1997,213.95,164.94
1998,215.1,186.76
1999,216.4,193.17
2000,218.47,200.58
2001,220.26,218.77
2002,221.74,245.51
2003,223.82,284.85
2004,224.56,345.07
2005,226.88,400.65
2006,229.03,479.72
2007,230.46,582.3
2008,230.79,749.65
2009,230.1,902
2010,229.5,1108.59
2011,385.36,1658.24
2012,383.43,1880
2013,384.5,2099.53
2014,384.5,2309.55
2015,384.79,2457.32
2016,387.58,2699.44
2017,387.65,2963.26
2018,388.85,3278.53
2019,389.84,3618.26
2020,,
