时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
2020,,
2019,722.6,19235.8
2018,703.55,18597.47
2017,691.07,17319.51
2016,678.2,15475.09
2015,667.01,14504.07
2014,661.1,13760.89
2013,653.84,13015.7
2012,647.81,12000
2011,642.33,10500
2010,637.66,9228.91
2009,633.29,7740.2
2008,629.75,6701.29
2007,624.43,5700.85
2006,616.08,4820.26
2005,607.31,4026.52
2004,598.85,3450
2003,590.97,2801.56
2002,583.86,2080.37
2001,580.53,1760.28
2000,578.17,1540.68
1999,576.23,1358.43
1998,575.35,1250.01
1997,574.99,1132.59
1996,574.12,1002.14
1995,572.91,903.11
1994,571.43,720.9
1993,569.28,525.96
1992,566.89,359.69
1991,564.27,235.1
1990,561.02,202.14
