时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
1978,377.95,9.85
1979,382.34,12.39
1980,386.22,14.25
1981,390.56,15.27
1982,396.09,18.32
1983,400.17,20.10
1984,402.36,24.52
1985,405.60,30.96
1986,409.22,37.25
1987,414.11,45.43
1988,419.28,59.64
1989,423.07,66.72
1990,424.90,74.64
1991,427.52,87.09
1992,429.71,110.13
1993,431.58,153.04
1994,433.64,230.71
1995,436.24,319.64
1996,438.60,386.22
1997,440.51,414.44
1998,442.96,437.26
1999,444.33,458.18
2000,446.42,509.35
2001,447.94,562.42
2002,449.19,637.41
2003,449.91,756.30
2004,451.70,929.62
2005,454.13,1072.07
2006,456.80,1250.25
2007,459.19,1489.55
2008,461.41,1704.91
2009,463.68,1761.13
2010,466.65,2101.13
2011,469.07,2433.11
2012,470.63,2689.85
2013,473.35,2980.93
2014,475.10,3215.17
2015,478.09,3481.08
2016,481.15,3705.24
2017,485.52,3962.17
2018,488.97,4243.90
2019,491.93,4569.48
2020,493.90,4705.83
2021,495.39,5398.77
2022,496.87,5592.02
2023,497.97,6011.27
2024,,
