时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
1990,60.58,13.86
1991,61.37,14.76
1992,63.55,18.08
1993,64.05,22.39
1994,65.4,33.35
1995,66.35,44.27
1996,66.56,51.95
1997,67.05,58.01
1998,67.7,64.36
1999,68.5,68.54
2000,69,73.3
2001,69.7,80.14
2002,70.32,88.42
2003,70.91,103.04
2004,71.63,136.72
2005,72.22,182.05
2006,73.11,243.63
2007,73.65,286.9
2008,73.89,325.31
2009,73.99,343.73
2010,74.01,466.7
2011,74.15,579.4
2012,74.21,621.3
2013,74.2,680.6
2014,73.8,716.31
2015,73.8,721.3
2016,170.85,852.3
2017,171.1,921.4
2018,170.8,954.7
2019,170.6,960.2
2020,,
