时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
2024,,
2023,264.91,5264.07
2022,266.86,5002.02
2021,268.10,4763.42
2020,269.25,4185.09
2019,270.16,4077.32
2018,270.78,3847.79
2017,270.90,3714.57
2016,271.98,3435.73
2015,271.67,3088.47
2014,272.10,2871.76
2013,271.75,2659.07
2012,271.40,2446.84
2011,271.86,2230.68
2010,270.71,2019.22
2009,269.88,1693.34
2008,268.77,1505.86
2007,268.78,1269.58
2006,268.79,1053.20
2005,267.61,888.34
2004,267.21,716.66
2003,267.19,587.67
2002,267.13,513.46
2001,266.58,466.84
2000,266.67,423.25
1999,266.17,392.40
1998,265.64,370.22
1997,265.41,345.77
1996,264.80,319.35
1995,263.27,281.72
1994,262.46,221.29
1993,261.54,165.46
1992,259.91,101.91
1991,259.05,72.11
1990,258.13,65.32
1985,246.19,32.04
1980,236.91,14.94
1975,227.53,
1970,212.89,
1965,188.48,
1954,157.85,
