时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
1990,104.93,28
1991,106.89,32.02
1992,109.97,40.63
1993,111.33,34.75
1994,112.87,80
1995,114.19,94.26
1996,115.24,109.33
1997,116.12,123.52
1998,116.55,117.11
1999,118.14,123.65
2000,119.01,126.17
2001,120.05,138.15
2002,122.12,154.59
2003,124.09,192.52
2004,124.39,265.1
2005,125.64,371.35
2006,126.57,428.9
2007,127.32,532.1
2008,128.1,636.3
2009,128.61,665.89
2010,129.1,811.01
2011,228.61,1144.18
2012,228.37,1232
2013,228.4,1292.8
2014,227.2,1333.12
2015,228.5,1365.3
2016,229.35,1493.8
2017,229.35,1710.09
2018,229.1,1918.1
2019,229.1,2111
2020,,
